index,omit_player,upper_slope,lower_slope,lower_minus_upper,change_vs_full
102,00-0033045,0.1340980858482655,-0.515710773377444,-0.6498088592257095,0.0044735784495534
103,00-0029892,0.1430009143332203,-0.515710773377444,-0.6587116877106644,-0.0044292500354014
104,00-0033553,0.1342195153099998,-0.515710773377444,-0.6499302886874438,0.0043521489878191
105,00-0032602,0.1428165762628328,-0.515710773377444,-0.6585273496402768,-0.0042449119650138
106,00-0034115,0.1363174208879793,-0.5221811266996758,-0.6584985475876551,-0.0042161099123921
107,00-0036755,0.1343958103928505,-0.515710773377444,-0.6501065837702945,0.0041758539049684
108,00-0030414,0.1388134400872739,-0.5196078676951185,-0.6584213077823924,-0.0041388701071294
109,00-0036842,0.1385716642978189,-0.5116267801219316,-0.6501984444197506,0.0040839932555123
110,00-0032209,0.1426449951508367,-0.515710773377444,-0.6583557685282807,-0.0040733308530177
111,00-0033556,0.1385716642978189,-0.5197037092166585,-0.6582753735144775,-0.0039929358392145
112,00-0028009,0.1425266590829458,-0.515710773377444,-0.6582374324603898,-0.0039549947851268
113,00-0033923,0.1347083422857918,-0.515710773377444,-0.6504191156632357,0.0038633220120272
114,00-0034449,0.1385716642978189,-0.5195646989888161,-0.658136363286635,-0.0038539256113721
115,00-0033897,0.1347910114624575,-0.515710773377444,-0.6505017848399015,0.0037806528353614
116,00-0037085,0.1349766986110545,-0.515710773377444,-0.6506874719884985,0.0035949656867644
117,00-0037840,0.1421243989289142,-0.515710773377444,-0.6578351723063582,-0.0035527346310952
118,00-0031959,0.1420897957512734,-0.515710773377444,-0.6578005691287174,-0.0035181314534544
119,00-0034440,0.1420873398953664,-0.515710773377444,-0.6577981132728103,-0.0035156755975473
120,00-0034791,0.1420653199126844,-0.515710773377444,-0.6577760932901284,-0.0034936556148654
121,00-0033164,0.1385716642978189,-0.5191481840488616,-0.6577198483466806,-0.0034374106714176
122,00-0029205,0.1377377640279735,-0.5199657508567697,-0.6577035148847432,-0.0034210772094802
123,00-0033906,0.1352761410419972,-0.515710773377444,-0.6509869144194412,0.0032955232558217
124,00-0032393,0.1378788035621379,-0.5196283252319529,-0.6575071287940909,-0.0032246911188279
125,00-0030287,0.1417552115598094,-0.515710773377444,-0.6574659849372534,-0.0031835472619904
126,00-0036096,0.1385716642978189,-0.5125345221881844,-0.6511061864860033,0.0031762511892596
127,00-0036158,0.1378853648823932,-0.519520307864097,-0.6574056727464902,-0.0031232350712272
128,00-0029273,0.1384466734052992,-0.5127853097833134,-0.6512319831886126,0.0030504544866503
129,00-0031390,0.1415820958544373,-0.515710773377444,-0.6572928692318813,-0.0030104315566183
130,00-0032144,0.1415662142605088,-0.515710773377444,-0.6572769876379528,-0.0029945499626898
131,00-0037563,0.1356219768415029,-0.515710773377444,-0.6513327502189469,0.002949687456316
132,00-0031577,0.1392891831849356,-0.5178414309784521,-0.6571306141633877,-0.0028481764881247
133,00-0033893,0.1413184028168083,-0.515710773377444,-0.6570291761942523,-0.0027467385189893
134,00-0037263,0.135849343602995,-0.515710773377444,-0.651560116980439,0.0027223206948239
135,00-0032241,0.1359710556295596,-0.515710773377444,-0.6516818290070037,0.0026006086682592
136,00-0035973,0.1410854732887725,-0.515710773377444,-0.6567962466662165,-0.0025138089909535
137,00-0032975,0.1361599521113052,-0.515710773377444,-0.6518707254887492,0.0024117121865137
138,00-0036924,0.1409260457864726,-0.515710773377444,-0.6566368191639167,-0.0023543814886537
139,00-0030741,0.1294381012287188,-0.5271706077740557,-0.6566087090027746,-0.0023262713275116
140,00-0036875,0.1408858026809843,-0.515710773377444,-0.6565965760584282,-0.0023141383831652
141,00-0031045,0.1408508730499069,-0.515710773377444,-0.6565616464273509,-0.0022792087520879
