player_id,historical_gsis_id,identity_method,position,evidence_tier,weeks_observed_current,current_opportunities,current_fumbles_lost,history_games,history_opportunities,history_fumbles_lost,predicted_season_equivalent_fumbles_lost,predictive_stddev,model
sleeper:player:6770,00-0036442,retained_gsis,QB,history_plus_current,2,78.0,0.0,67,2785.0,11.0,2.32550733,1.72663038,calibrated_position_opportunity_rate
sleeper:player:6783,00-0036407,retained_gsis,WR,history_plus_current,2,2.0,0.0,75,306.0,1.0,0.18064709,0.44249225,calibrated_position_opportunity_rate
sleeper:player:6786,00-0036358,retained_gsis,WR,history_plus_current,2,14.0,0.0,78,545.0,3.0,0.41364158,0.64314973,calibrated_position_opportunity_rate
sleeper:player:6790,00-0036275,retained_gsis,RB,history_plus_current,2,40.0,1.0,76,1180.0,4.0,0.79169621,0.88977312,calibrated_position_opportunity_rate
sleeper:player:6794,00-0036322,retained_gsis,WR,history_plus_current,2,11.0,0.0,78,505.0,2.0,0.36383266,0.60318543,calibrated_position_opportunity_rate
sleeper:player:6797,00-0036355,retained_gsis,QB,history_plus_current,2,68.0,0.0,80,3357.0,9.0,2.24535932,1.72663038,calibrated_position_opportunity_rate
sleeper:player:6801,00-0036410,retained_gsis,WR,history_plus_current,2,8.0,0.0,67,322.0,2.0,0.26844513,0.51811691,calibrated_position_opportunity_rate
sleeper:player:6804,00-0036264,retained_gsis,QB,history_plus_current,2,79.0,1.0,57,1729.0,6.0,1.90723052,1.72663038,calibrated_position_opportunity_rate
sleeper:player:6806,00-0036158,retained_gsis,RB,history_plus_current,2,18.0,0.0,32,500.0,0.0,0.62417492,0.79004742,calibrated_position_opportunity_rate
sleeper:player:6813,00-0036223,retained_gsis,RB,history_plus_current,2,50.0,1.0,69,1470.0,7.0,1.04843857,1.02393289,calibrated_position_opportunity_rate
sleeper:player:6819,00-0036252,retained_gsis,WR,history_plus_current,1,3.0,0.0,82,453.0,2.0,0.29697389,0.5449531,calibrated_position_opportunity_rate
sleeper:player:6826,00-0036290,retained_gsis,TE,history_plus_current,2,2.0,0.0,82,266.0,0.0,0.14630404,0.45240602,calibrated_position_opportunity_rate
sleeper:player:6847,00-0036331,retained_gsis,WR,history_plus_current,2,0.0,0.0,73,114.0,0.0,0.06159529,0.44249225,calibrated_position_opportunity_rate
sleeper:player:6865,00-0036244,retained_gsis,TE,history_plus_current,2,3.0,0.0,64,128.0,1.0,0.10746437,0.45240602,calibrated_position_opportunity_rate
sleeper:player:6869,00-0036422,retained_gsis,TE,history_plus_current,1,2.0,0.0,65,100.0,1.0,0.09559068,0.45240602,calibrated_position_opportunity_rate
sleeper:player:6904,00-0036389,retained_gsis,QB,history_plus_current,2,80.0,0.0,78,3131.0,17.0,2.29023892,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7002,00-0036040,retained_gsis,TE,history_plus_current,2,7.0,0.0,74,219.0,2.0,0.18403603,0.45240602,calibrated_position_opportunity_rate
sleeper:player:7021,00-0036139,retained_gsis,RB,history_plus_current,2,19.0,0.0,51,655.0,3.0,0.54564945,0.73868088,calibrated_position_opportunity_rate
sleeper:player:7049,00-0036259,retained_gsis,WR,history_plus_current,1,0.0,0.0,72,210.0,1.0,0.13804909,0.44249225,calibrated_position_opportunity_rate
sleeper:player:7083,00-0035993,retained_gsis,QB,history_only,0,0.0,0.0,27,744.0,5.0,1.57402053,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7090,00-0036309,retained_gsis,WR,history_plus_current,2,4.0,0.0,73,257.0,0.0,0.17830215,0.44249225,calibrated_position_opportunity_rate
sleeper:player:7523,00-0036971,retained_gsis,QB,history_plus_current,2,59.0,0.0,77,3060.0,25.0,2.0750513,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7525,00-0036912,retained_gsis,WR,history_plus_current,2,13.0,0.0,80,386.0,2.0,0.31849896,0.56435712,calibrated_position_opportunity_rate
sleeper:player:7526,00-0036613,retained_gsis,WR,history_plus_current,2,9.0,0.0,78,387.0,1.0,0.2844418,0.53333085,calibrated_position_opportunity_rate
sleeper:player:7527,00-0036972,retained_gsis,QB,history_plus_current,1,2.0,0.0,63,2154.0,10.0,1.58526353,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7528,00-0036893,retained_gsis,RB,history_plus_current,1,4.0,0.0,71,1295.0,2.0,0.71605111,0.84619803,calibrated_position_opportunity_rate
sleeper:player:7543,00-0036973,retained_gsis,RB,history_plus_current,2,26.0,0.0,66,1065.0,4.0,0.70206462,0.83789297,calibrated_position_opportunity_rate
sleeper:player:7547,00-0036963,retained_gsis,WR,history_plus_current,2,19.0,0.0,82,572.0,2.0,0.46248849,0.68006506,calibrated_position_opportunity_rate
sleeper:player:7553,00-0036970,retained_gsis,TE,history_plus_current,2,1.0,0.0,78,285.0,0.0,0.15255432,0.45240602,calibrated_position_opportunity_rate
sleeper:player:7564,00-0036900,retained_gsis,WR,history_plus_current,2,9.0,0.0,78,541.0,4.0,0.36231564,0.60192661,calibrated_position_opportunity_rate
sleeper:player:7569,00-0036554,retained_gsis,WR,history_plus_current,1,8.0,0.0,66,292.0,1.0,0.30406656,0.5514223,calibrated_position_opportunity_rate
sleeper:player:7571,00-0036550,retained_gsis,WR,history_plus_current,2,7.0,0.0,62,158.0,1.0,0.16953954,0.44249225,calibrated_position_opportunity_rate
sleeper:player:7585,00-0036898,retained_gsis,QB,history_only,0,0.0,0.0,43,1249.0,4.0,1.65918649,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7587,00-0036626,retained_gsis,WR,history_plus_current,2,4.0,1.0,61,91.0,2.0,0.09828319,0.44249225,calibrated_position_opportunity_rate
sleeper:player:7588,00-0036997,retained_gsis,RB,history_plus_current,2,32.0,0.0,70,1051.0,7.0,0.71378584,0.84485847,calibrated_position_opportunity_rate
sleeper:player:7591,00-0036945,retained_gsis,QB,history_only,0,0.0,0.0,59,1990.0,15.0,1.92664759,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7594,00-0036555,retained_gsis,RB,history_plus_current,2,27.0,0.0,77,1040.0,5.0,0.62825318,0.79262424,calibrated_position_opportunity_rate
sleeper:player:7600,00-0036894,retained_gsis,TE,history_plus_current,2,10.0,0.0,74,261.0,2.0,0.23552388,0.48530802,calibrated_position_opportunity_rate
sleeper:player:7610,00-0037012,retained_gsis,QB,history_only,0,0.0,0.0,16,298.0,1.0,1.0638919,1.72663038,calibrated_position_opportunity_rate
sleeper:player:7611,00-0036875,retained_gsis,RB,history_plus_current,2,30.0,1.0,70,1022.0,9.0,0.68542936,0.82790661,calibrated_position_opportunity_rate
sleeper:player:7694,00-0037005,retained_gsis,TE,history_plus_current,2,4.0,0.0,70,115.0,1.0,0.10327745,0.45240602,calibrated_position_opportunity_rate
sleeper:player:7716,00-0036628,retained_gsis,TE,history_plus_current,1,2.0,0.0,59,72.0,1.0,0.08067279,0.45240602,calibrated_position_opportunity_rate
sleeper:player:7828,00-0036637,retained_gsis,TE,history_plus_current,2,1.0,0.0,70,127.0,0.0,0.08066806,0.45240602,calibrated_position_opportunity_rate
sleeper:player:7891,00-0036754,retained_gsis,TE,history_plus_current,2,1.0,0.0,50,70.0,0.0,0.06447862,0.45240602,calibrated_position_opportunity_rate
sleeper:player:8110,00-0038041,retained_gsis,TE,history_plus_current,2,6.0,0.0,59,232.0,4.0,0.21227939,0.46073787,calibrated_position_opportunity_rate
sleeper:player:8111,00-0038129,retained_gsis,TE,history_plus_current,2,8.0,0.0,62,208.0,1.0,0.20925613,0.45744523,calibrated_position_opportunity_rate
sleeper:player:8112,00-0037238,retained_gsis,WR,history_plus_current,2,8.0,0.0,62,310.0,4.0,0.27609817,0.52545044,calibrated_position_opportunity_rate
sleeper:player:8117,00-0037666,retained_gsis,WR,history_only,0,0.0,0.0,46,91.0,0.0,0.11704162,0.44249225,calibrated_position_opportunity_rate
sleeper:player:8119,00-0037741,retained_gsis,WR,history_plus_current,2,3.0,0.0,58,124.0,0.0,0.1139075,0.44249225,calibrated_position_opportunity_rate
sleeper:player:8121,00-0037816,retained_gsis,WR,history_plus_current,2,3.0,0.0,59,203.0,1.0,0.16529122,0.44249225,calibrated_position_opportunity_rate
sleeper:player:8126,00-0038117,retained_gsis,WR,history_plus_current,2,6.0,0.0,54,285.0,0.0,0.26733315,0.5170427,calibrated_position_opportunity_rate
sleeper:player:8127,00-0038046,retained_gsis,TE,history_plus_current,2,3.0,0.0,33,31.0,0.0,0.06601806,0.45240602,calibrated_position_opportunity_rate
sleeper:player:8130,00-0037744,retained_gsis,TE,history_plus_current,2,17.0,0.0,62,348.0,0.0,0.38542207,0.6208237,calibrated_position_opportunity_rate
sleeper:player:8131,00-0037838,retained_gsis,TE,history_plus_current,2,13.0,0.0,55,135.0,2.0,0.22292196,0.47214612,calibrated_position_opportunity_rate
sleeper:player:8132,00-0037263,retained_gsis,RB,history_plus_current,2,26.0,0.0,67,737.0,0.0,0.5427608,0.73752057,calibrated_position_opportunity_rate
sleeper:player:8134,00-0037261,retained_gsis,WR,history_plus_current,2,7.0,0.0,57,201.0,1.0,0.20811159,0.45619249,calibrated_position_opportunity_rate
sleeper:player:8135,00-0037742,retained_gsis,WR,history_plus_current,1,0.0,0.0,33,74.0,0.0,0.10613644,0.44249225,calibrated_position_opportunity_rate
sleeper:player:8136,00-0037256,retained_gsis,RB,history_plus_current,2,22.0,0.0,66,882.0,7.0,0.58505385,0.76488813,calibrated_position_opportunity_rate
sleeper:player:8137,00-0037247,retained_gsis,WR,history_plus_current,2,9.0,0.0,65,275.0,1.0,0.25561836,0.50558714,calibrated_position_opportunity_rate
sleeper:player:8138,00-0037248,retained_gsis,RB,history_plus_current,2,38.0,0.0,66,972.0,6.0,0.75140651,0.86683707,calibrated_position_opportunity_rate
