index,position,horizon,career_stage,origin,n,current,alternative,crps_gain_current_vs_alt,mae_gain_current_vs_alt,current_crps,alternative_crps,current_mae,alternative_mae,active_n,p_active_mean,actual_active_rate,conditional_active_retention_bias
117,WR,2,developmental,2017,136,D1,D0,4.477409724186306,1.1740845957325998,20.92339122586639,25.40080095005269,30.47496040894495,31.649045004677557,80,0.5951638715509889,0.5882352941176471,-1.2695394539119345
118,WR,2,developmental,2018,136,D1,D0,3.1200892204765864,0.5271843759593331,18.141284724132863,21.26137394460945,27.40772068837853,27.934905064337865,89,0.5839426331036468,0.6544117647058824,0.1956619920259385
119,WR,2,developmental,2019,142,D1,D0,4.074009204891498,0.4444433073433976,21.2642708167828,25.3382800216743,30.3680194839002,30.812462791243597,91,0.5836841166706704,0.6408450704225352,-0.7148668539621466
120,WR,2,developmental,2020,151,D1,D0,3.856987865025824,0.6976905628943727,19.091645807375883,22.94863367240171,27.938843043592133,28.6365336064865,98,0.5978240414757119,0.6490066225165563,-0.0819140233162347
121,WR,2,developmental,2021,144,D1,D0,6.491982939516021,2.258935796405109,16.63926088468276,23.13124382419878,25.737165343045504,27.99610113945061,79,0.5806651981158956,0.5486111111111112,1.199494360366729
122,WR,2,developmental,2022,137,D1,D0,5.0062922737207485,1.116396686379725,17.959979555824784,22.966271829545533,27.509071255896444,28.625467942276167,81,0.578349972243679,0.5912408759124088,0.3346749148782683
123,WR,2,developmental,2023,119,D1,D0,4.175462195602654,0.2081085210091318,21.90031240567519,26.07577460127785,30.902704321552964,31.1108128425621,86,0.6416631737985322,0.7226890756302521,-0.095099059333074
124,WR,2,established,2014,62,D1,D0,2.8298008484914146,0.3253241367326543,20.105845459855257,22.93564630834667,30.31043047911045,30.63575461584311,30,0.5863276597345792,0.4838709677419355,-0.1232004504097706
125,WR,2,established,2015,61,D1,D0,4.183552862234475,0.6190650605820112,16.962183720305095,21.145736582539566,26.7162744474514,27.335339508033407,33,0.5834928187835284,0.5409836065573771,0.2640522265586524
126,WR,2,established,2016,62,D1,D0,3.483028326582742,0.6569539956298185,20.070343951969598,23.55337227855234,28.303829009663744,28.960783005293568,40,0.618765104784621,0.6451612903225806,0.1892215424137635
127,WR,2,established,2017,62,D1,D0,6.764396278300397,1.5047784447396804,19.54620765277241,26.310603931072805,32.16624795765126,33.671026402390936,28,0.5908033405059906,0.4516129032258064,0.4770846581291922
128,WR,2,established,2018,71,D1,D0,5.157096038880527,0.8861300347839268,16.72857778187224,21.88567382075277,28.590331235911737,29.47646127069567,32,0.5771634515259854,0.4507042253521127,0.15533282428695
129,WR,2,established,2019,66,D1,D0,4.670035936758116,1.38656696175322,17.609260469411794,22.27929640616991,25.73078884403756,27.11735580579078,40,0.58227777472591,0.6060606060606061,0.3200864494359365
130,WR,2,established,2020,56,D1,D0,5.968033215622628,1.6826729839879688,21.60995647117289,27.57798968679552,29.82758014806125,31.510253132049225,38,0.6033495779644761,0.6785714285714286,-2.314749603844659
131,WR,2,established,2021,79,D1,D0,3.139428811053581,0.7301543165003788,16.13556156332068,19.274990374374266,24.332546402065773,25.06270071856615,44,0.5300401986755587,0.5569620253164557,-0.0534386105735261
132,WR,2,established,2022,78,D1,D0,4.304434780930695,1.3659509454246452,13.90407417218892,18.208508953119612,21.10816487277061,22.47411581819526,43,0.5531933669747142,0.5512820512820513,0.2938851618918278
133,WR,2,established,2023,79,D1,D0,2.356150770110305,0.9294755140757752,12.639721257016758,14.995872027127058,18.27942286778893,19.20889838186471,47,0.5352020661037472,0.5949367088607594,0.4113128167350923
134,WR,2,veteran,2014,17,D1,D0,1.6652026514585292,-1.4103740627886676,18.23039359874172,19.89559625020025,32.362775436788944,30.95240137400028,5,0.3999041593277967,0.2941176470588235,0.1414066441824498
135,WR,2,veteran,2015,16,D1,D0,2.966461389678892,-1.984559761194268,10.219552190809004,13.186013580487897,26.550312249794416,24.565752488600147,2,0.3953181638859468,0.125,0.1238794490598438
136,WR,2,veteran,2016,9,D1,D0,1.7143050729665754,-2.287828235871726,12.75913040570212,14.473435478668696,24.45961765714439,22.171789421272663,3,0.4221173675411722,0.3333333333333333,0.4228265327581106
