index,position,horizon,career_stage,magnitude_bin,n,origins,source_percentile_mean,source_points_mean,target_points_mean,active_rate,active_retention_mean,active_retention_median,p_active_mean,current_crps_mean,alternative_crps_mean,crps_gain_current_vs_alt,conditional_retention_bias_active
87,RB,2,veteran,"(0.7, 0.8]",9,6,0.7411444170138792,91.84444444444443,12.666666666666666,0.3333333333333333,0.4160732904222954,0.155154091392136,0.4069252863976172,12.627510555664331,15.564830846152583,2.9373202904882523,0.3035648544038713
88,RB,2,veteran,"(0.8, 0.9]",12,7,0.8476213960052673,135.26666666666668,51.29166666666668,0.75,0.4775452145537824,0.3966244725738396,0.6914180413358889,29.01688461918981,36.50059613526995,7.483711516080151,0.1819894715221509
89,RB,2,veteran,"(0.9, 1.0]",3,2,0.9462618965714942,182.33333333333331,79.73333333333333,0.6666666666666666,0.7006013739939634,0.7006013739939634,0.7137609750044818,36.51278223389922,36.59016404351902,0.0773818096197966,-0.0239237976426068
90,RB,3,developmental,"(-0.001, 0.1]",113,9,0.052155331346852,1.3646017699115045,9.58495575221239,0.2743362831858407,43.48211527829525,20.153846153846157,0.2315886495290592,8.414616318068688,8.715295461426015,0.300679143357326,-7.904045209808293
91,RB,3,developmental,"(0.1, 0.2]",114,9,0.1515418972515314,4.55438596491228,6.43859649122807,0.3157894736842105,4.65349983374217,1.6870967741935483,0.295393884109549,5.62798833900107,6.880135220456598,1.252146881455527,4.785095644782181
92,RB,3,developmental,"(0.2, 0.3]",93,9,0.2473201680965351,9.30537634408602,13.227956989247312,0.3763440860215054,3.573216916614576,1.4396551724137931,0.3575759418874022,11.245057068378204,13.810244687674691,2.565187619296493,1.0266520988416847
93,RB,3,developmental,"(0.3, 0.4]",94,9,0.3484126378795298,15.630212765957443,12.963829787234042,0.4361702127659574,1.938286857812252,0.7225806451612903,0.4348917427288024,10.85149346327612,13.953960067801203,3.102466604525085,0.8452861031505202
94,RB,3,developmental,"(0.4, 0.5]",107,9,0.4502192562344889,26.850467289719628,17.129158878504672,0.514018691588785,1.1938268724223813,0.622680412371134,0.4606924097358328,13.482091494199643,17.22926555005489,3.747174055855248,0.5122971631450522
95,RB,3,developmental,"(0.5, 0.6]",89,9,0.5482374413730079,42.82247191011236,24.047191011235952,0.5280898876404494,1.0388197350865738,0.6412429378531074,0.5378567084276706,19.15161117941781,25.20917840918426,6.057567229766455,0.3134668447005269
96,RB,3,developmental,"(0.6, 0.7]",95,9,0.6523304670170643,64.39578947368422,38.93157894736842,0.5368421052631579,1.1028203847385158,0.8813291139240507,0.6447632097715595,26.950800773704653,34.336301474863454,7.385500701158797,0.0040607381525459
97,RB,3,developmental,"(0.7, 0.8]",95,9,0.7510689903848624,93.8482105263158,61.44947368421053,0.7684210526315789,0.8714871916605684,0.6183783783783784,0.6796932549984834,37.91838721088022,44.58660260527597,6.668215394395753,0.0472112237824571
98,RB,3,developmental,"(0.8, 0.9]",94,9,0.8512278986291827,135.32680851063827,69.25553191489364,0.7021276595744681,0.7338598669403691,0.5182758361065518,0.8237189416471705,47.4836976932477,62.59160191852468,15.107904225276972,0.1033409482169831
99,RB,3,developmental,"(0.9, 1.0]",92,9,0.9514991318487958,216.0321739130435,129.6682608695652,0.9130434782608696,0.6573055822776929,0.6852864567056574,0.8612817711735105,53.0008675352395,64.60956793411356,11.608700398874054,-0.0338993202114156
100,RB,3,established,"(-0.001, 0.1]",34,9,0.0438798691560469,1.2470588235294118,0.0970588235294117,0.0294117647058823,1.129032258064516,1.129032258064516,0.0836892414199537,0.1574342951093011,0.1997058878379503,0.0422715927286492,4.4287650749074885
101,RB,3,established,"(0.1, 0.2]",32,9,0.1504321305494049,4.865625,7.515625,0.28125,5.912011667892276,2.0,0.1460317907735715,6.864765152125619,7.039569024548952,0.1748038724233319,-0.6124009312131302
102,RB,3,established,"(0.2, 0.3]",46,9,0.2546722984956064,9.30217391304348,5.173913043478261,0.1956521739130435,2.9925363530611166,1.7954545454545454,0.1770347979275072,4.274566726226431,4.120315908465542,-0.1542508177608898,0.3669742920421917
103,RB,3,established,"(0.3, 0.4]",54,9,0.35126649942113,15.844814814814814,2.5037037037037035,0.2037037037037037,0.8100187193671092,0.5962732919254657,0.2000876140558785,2.4265984600460886,2.9550263866977966,0.5284279266517088,0.6064332325025348
104,RB,3,established,"(0.4, 0.5]",41,9,0.4522674011734733,26.114634146341466,9.4,0.2439024390243902,1.2824911671291177,0.8749407480823925,0.2377169399079703,8.48351585334545,8.45192831295726,-0.0315875403881902,-0.486715311056786
105,RB,3,established,"(0.5, 0.6]",50,9,0.5524172075225461,43.232,8.95,0.22,0.9814308629674006,1.055299539170507,0.3195468183841655,7.95078403301995,8.919268420892456,0.968484387872505,-0.0722358414288716
106,RB,3,established,"(0.6, 0.7]",52,9,0.6450287220765752,63.41346153846153,9.486538461538462,0.2307692307692307,0.6731547143246103,0.5936447431733429,0.3789035664961139,9.213541106959433,10.638598428843665,1.4250573218842324,-0.0076615607143651
107,RB,3,established,"(0.7, 0.8]",46,9,0.7500530997819704,94.3891304347826,33.89260869565217,0.5,0.7364758709153558,0.5909893992932862,0.4267080337221332,25.81837460703224,27.244923720555843,1.426549113523608,-0.0696968820418205
108,RB,3,established,"(0.8, 0.9]",45,9,0.8494945069019355,134.52444444444444,24.068888888888885,0.3333333333333333,0.5372657686730871,0.4891618497109826,0.5885328607206917,25.24971147593869,32.646992565511134,7.397281089572438,0.1366855620381043
109,RB,3,established,"(0.9, 1.0]",54,9,0.9486453329295856,207.6885185185185,76.98814814814814,0.6851851851851852,0.5174242316548227,0.3545301069217783,0.7041654806823446,47.71412949483465,60.21031954286985,12.496190048035194,0.0418849760864495
110,RB,3,veteran,"(-0.001, 0.1]",4,3,0.0539428092053236,1.15,0.0,0.0,,,0.0282840106231288,0.0056552021759295,0.0061285190869967,0.0004733169110671,
111,RB,3,veteran,"(0.1, 0.2]",5,4,0.1390176427261447,3.98,0.0,0.0,,,0.0463946631656198,0.0127343663702205,0.0110434064315997,-0.0016909599386208,
112,RB,3,veteran,"(0.2, 0.3]",8,7,0.2574319672806663,10.25,17.6875,0.125,15.72222222222222,15.72222222222222,0.042583943927945,17.473996213047148,17.132033881845356,-0.3419623312017912,-13.95591200932784
113,RB,3,veteran,"(0.3, 0.4]",3,3,0.3472196081296131,15.199999999999998,0.0,0.0,,,0.0581701982497258,0.0349682715900382,0.0197011704682513,-0.0152671011217869,
114,RB,3,veteran,"(0.4, 0.5]",4,4,0.4350943910702682,24.975,0.0,0.0,,,0.0680017558814343,0.0212233575583716,0.027219517263051,0.0059961597046794,
115,RB,3,veteran,"(0.5, 0.6]",10,6,0.5629205912191185,43.81,3.45,0.1,0.8937823834196891,0.8937823834196891,0.1281068869500463,3.233051861450696,3.2924354078720173,0.059383546421321,-0.2304662543129161
