index,position,horizon,career_stage,origin,n,best_form,best_knot,best_bic,quadratic_bic,quadratic_curvature,linear_bic
142,TE,3,developmental,2020,75,piecewise,0.7,519.3364707782199,519.537337989813,126.736731146069,522.6208546094997
143,TE,3,developmental,2021,66,piecewise,0.7,408.8952014858652,412.4927181247408,135.4547064507523,423.179861576649
144,TE,3,developmental,2022,70,quadratic,,480.8385685122103,480.8385685122103,133.97949860528527,483.556549564692
145,TE,3,established,2014,41,piecewise,0.8,277.49707185053524,284.0900548859247,186.71655157089648,289.8062167143126
146,TE,3,established,2015,37,linear,,252.98233527447147,255.9900206862443,49.00051813138074,252.98233527447147
147,TE,3,established,2016,37,piecewise,0.9,241.4106620041861,246.83340844315157,80.27780004066412,244.81073810608817
148,TE,3,established,2017,40,piecewise,0.8,267.9819086096719,281.4888864306379,272.1187156524447,292.5206370835048
149,TE,3,established,2018,42,piecewise,0.9,287.9463138511909,292.2017730281078,180.11923257876606,296.7323221348154
150,TE,3,established,2019,46,piecewise,0.9,269.9879137163921,315.3538637002284,189.4263646916873,322.8056531208519
151,TE,3,established,2020,39,piecewise,0.8,217.4624756951076,239.96500988006076,196.49762676308063,252.37920263048903
152,TE,3,established,2021,53,piecewise,0.9,358.3475667646354,365.6905632199566,239.0450753881684,378.08489794998593
153,TE,3,established,2022,45,piecewise,0.7,301.184362216149,303.8340973433292,144.62180464089204,307.7844542418713
