index,omit_player,removed_rows,crps_gain,delta_vs_full
169,00-0031075,4,0.0137066503542611,-0.0008285661026574
170,00-0037331,1,0.0137524595068206,-0.0007827569500979
171,00-0029588,2,0.0137624939777009,-0.0007727224792176
172,00-0034221,1,0.0137672175087059,-0.0007679989482126
173,00-0035291,3,0.0137750130443058,-0.0007602034126127
174,00-0034621,1,0.0137771484338568,-0.0007580680230616
175,00-0038098,1,0.0137921915768514,-0.0007430248800671
176,00-0035099,4,0.0137941708552038,-0.0007410456017147
177,00-0033164,2,0.0138013430812681,-0.0007338733756504
178,00-0035184,4,0.0138028774683154,-0.000732338988603
179,00-0028043,1,0.0138221194517543,-0.0007130970051642
180,00-0033748,1,0.0138349394297623,-0.0007002770271562
181,00-0032068,2,0.0138461661037292,-0.0006890503531893
182,00-0035835,2,0.013848635608865,-0.0006865808480535
183,00-0029384,2,0.0138550727934623,-0.0006801436634562
184,00-0031599,4,0.0138692094376648,-0.0006660070192537
185,00-0028198,2,0.0138714364023534,-0.0006637800545651
186,00-0036669,2,0.0138779925060554,-0.0006572239508631
187,00-0033760,2,0.0138779982391721,-0.0006572182177463
188,00-0032130,3,0.0138862243231479,-0.0006489921337706
189,00-0034171,4,0.013889102203938,-0.0006461142529805
190,00-0036245,1,0.0138956925691401,-0.0006395238877784
