index,omit_player,removed_rows,crps_gain,delta_vs_full
348,00-0029438,2,-0.4750352521636963,0.003393565044024
349,00-0031743,3,-0.4749014947474463,0.003527322460274
350,00-0029795,3,-0.4748060401902712,0.0036227770174491
351,00-0033308,4,-0.4747949736906672,0.003633843517053
352,00-0033295,2,-0.4747435762586058,0.0036852409491145
353,00-0029675,1,-0.4747105784750844,0.0037182387326359
354,00-0036425,3,-0.474558594084307,0.0038702231234133
355,00-0031123,1,-0.4745516786911769,0.0038771385165434
356,00-0032450,4,-0.4745445970039979,0.0038842202037224
357,00-0030348,3,-0.474512306831564,0.0039165103761563
358,00-0030789,3,-0.474496774401058,0.0039320428066623
359,00-0031277,3,-0.4743562528258449,0.0040725643818754
360,00-0031085,4,-0.474302742073333,0.0041260751343873
361,00-0030433,2,-0.4741704819886043,0.004258335219116
362,00-0036020,3,-0.4740725109585205,0.0043563062491998
363,00-0034367,4,-0.4739400365888588,0.0044887806188614
364,00-0035685,4,-0.4738337034294979,0.0045951137782224
365,00-0030432,3,-0.4735805283110897,0.0048482888966306
366,00-0032426,3,-0.4735131272693788,0.0049156899383415
367,00-0032780,4,-0.4734585837044706,0.0049702335032497
368,00-0029854,3,-0.473441827992917,0.0049869892148032
369,00-0029141,2,-0.4734409973539229,0.0049878198537974
370,00-0029264,2,-0.4734161197982914,0.0050126974094289
371,00-0032411,2,-0.4733932674780564,0.0050355497296639
372,00-0034331,4,-0.4733150375111884,0.0051137796965319
373,00-0030547,3,-0.4732478456024855,0.0051809716052347
374,00-0033025,4,-0.4732037279449043,0.005225089262816
375,00-0031390,4,-0.473199155407199,0.0052296618005213
376,00-0033556,4,-0.4728717585933867,0.0055570586143335
377,00-0033951,4,-0.4728651124705636,0.0055637047371567
378,00-0030282,3,-0.4728517081636453,0.0055771090440749
379,00-0035217,4,-0.4728200648070084,0.0056087524007119
380,00-0030705,3,-0.4725303521628902,0.0058984650448301
381,00-0034349,3,-0.4721809656540048,0.0062478515537155
382,00-0032782,4,-0.4720985941841046,0.0063302230236157
383,00-0031075,4,-0.4720660390344295,0.0063627781732908
384,00-0030287,3,-0.4719055963191318,0.0065232208885885
385,00-0032371,3,-0.4718886557849762,0.0065401614227441
386,00-0031057,3,-0.4718833283713866,0.0065454888363337
387,00-0031066,3,-0.4718789941440073,0.006549823063713
388,00-0031590,4,-0.4714912397087196,0.0069375774990007
389,00-0030280,3,-0.4712991879410734,0.0071296292666469
390,00-0030388,2,-0.4710800687133669,0.0073487484943534
391,00-0030536,2,-0.4709380834728447,0.0074907337348755
392,00-0032417,3,-0.4708792521031306,0.0075495651045897
393,00-0031569,3,-0.4706404042874611,0.0077884129202592
394,00-0031939,3,-0.4706297239878936,0.0077990932198267
395,00-0031375,4,-0.47050519706919,0.0079236201385303
396,00-0029683,2,-0.470489282213106,0.0079395349946143
397,00-0031413,2,-0.4687669589040883,0.009661858303632
